ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	unique_inds	unused_search	
10015.0	35.2	8.2	34.2	23.8	10015	0	0	52	11	51	35	22	7	21	15	0	0	0.07004380226135254	10	0.07004380226135254	10	0.0	
10015.0	40.5	8.4	39.0	27.0	10015	1	1	60	9	54	37	22	8	27	19	0	0	0.004560708999633789	20	0.07460451126098633	18	10.0	
10015.0	38.3	8.4	37.5	26.0	10015	2	1	47	10	48	33	29	7	24	17	0	0	0.006394147872924805	30	0.08099865913391113	27	10.0	
10015.0	37.6	8.3	35.1	24.4	10015	3	2	48	11	45	31	22	7	27	19	0	0	0.003864288330078125	40	0.08486294746398926	36	10.0	
10015.0	39.2	8.2	34.2	23.8	10015	4	3	48	9	42	29	26	7	27	19	0	0	0.003376007080078125	50	0.08823895454406738	43	14.0	
10015.0	41.4	8.0	33.0	23.0	10015	5	3	55	9	42	29	26	7	24	17	0	0	0.003536701202392578	60	0.09177565574645996	50	16.666666666666657	
10015.0	40.6	7.5	32.1	22.4	10015	6	3	47	9	45	31	27	7	24	17	0	0	0.003923177719116211	70	0.09569883346557617	59	15.714285714285708	
10015.0	36.9	7.8	31.5	22.0	10015	7	3	50	9	36	25	27	7	21	15	0	0	0.003958940505981445	80	0.09965777397155762	66	17.5	
10015.0	38.1	8.2	31.5	22.0	10015	8	3	67	10	36	25	23	7	24	17	0	0	0.004538059234619141	90	0.10419583320617676	75	16.666666666666657	
10015.0	36.3	7.9	33.6	23.4	10015	9	4	53	10	45	31	22	7	24	17	0	0	0.00481724739074707	100	0.10901308059692383	82	18.0	
10015.0	35.6	8.285714285714286	35.142857142857146	24.428571428571427	10015	10	8	67	11.0	45.0	31.0	12	7.0	21.0	15.0	0	0	0.0030961036682128906	110	0.11210918426513672	87	20.909090909090907	
